course_name,course_link,course_source,course_tags
A virtual Crash Course in Design Thinking,https://dschool.stanford.edu/resources-collections/a-virtual-crash-course-in-design-thinking, (dschool.stanford.edu) ,"['Free', ' Video', ' Beginner', 'Docs']"
Design Thinking As a Strategy For Innovation,http://www.creativityatwork.com/design-thinking-strategy-for-innovation/, (creativityatwork.com) ,"['Free', ' Advanced', 'Docs']"
Design Sprint Methodology,https://designsprintkit.withgoogle.com/methodology/overview, (designsprintkit.withgoogle.com) ,"['Free', ' Beginner', 'Docs']"
Unlock Your Creativity With Design 101,http://share.trydesignlab.com/hackriodesign101, (trydesignlab.com) ,"['Paid', ' Beginner', ' Certification', 'Docs']"
Web Design for Everybody,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/web-design, (coursera.org) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Design Thinking: The Beginner's Guide,https://www.interaction-design.org/courses/design-thinking-the-beginner-s-guide, (interaction-design.org) ,"['Paid', ' Video', ' Advanced', 'Docs']"
Design Thinking for Innovation,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/uva-darden-design-thinking-innovation, (coursera.org) ,"['Free', ' Video', ' Beginner', 'Docs']"
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/design-strategy, (coursera.org) ,"['Paid', ' Video', ' Advanced', 'Docs']"
5 Stages in Design Thinking Process,https://www.interaction-design.org/literature/article/5-stages-in-the-design-thinking-process, (interaction-design.org) ,"['Free', ' Beginner', 'Docs']"
