,name
0,learn-game-design
1,learn-photoshop
2,learn-adobe-illustrator
3,learn-blender
4,learn-adobe-premier-pro
5,learn-adobe-experience-design
6,learn-adobe-after-effects
7,learn-adobe-lightroom
8,learn-adobe-indesign
9,learn-user-experience-design
10,learn-cinema-4d
11,learn-user-interface-design
12,learn-figma
13,learn-sketch
14,learn-prototyping
15,learn-design-thinking
16,learn-ux-research
17,learn-product-design
18,learn-wireframing
19,learn-autodesk-maya
20,learn-sketchbook-pro
21,learn-inkscape
22,learn-interaction-design
23,learn-autodesk-3ds-max
24,learn-invision
25,learn-daz-studio
26,learn-information-architecture
27,learn-ux-pin
28,learn-industrial-design
29,learn-color-theory
30,learn-typography
31,learn-affinity-photo
32,learn-content-strategy
33,learn-drawing
34,learn-affinity-designer
35,learn-branding
36,learn-digital-painting
37,learn-framer
38,learn-marvel
39,learn-origami-studio
40,learn-principle
